id,title_eng,title_ch,description_eng,description_ch,medium,tags
20250111,the eiffel tower in a storm,雷雨中的埃菲尔铁塔,lightning bolts are striking all around the eiffel tower during a big storm.,埃菲尔铁塔四周电闪雷鸣，暴风雨来了。,"marker, watercolor",urban sketching|nature
20250329_01,happy onions,快乐的洋葱,"happy onions are a plate, playing with fruit friends",快乐的洋葱们一家在餐桌的盘子上，和水果朋友打招呼。,marker,food|fantasy
20250329_02,fish in the fire sea,火焰海里的小鱼,colorful fish are swimming in a dark blue sea under a fiery orange sky.,五颜六色的小鱼在深蓝色的大海里游泳，天空燃烧着橙色的火焰。,watercolor,sea|animal|fantasy
20250405,pokemon dream,神奇宝贝之梦,fennekin and her fancy castle.,火狐狸和她的魔法宫殿。,marker,fantasy|animal
20250412,dali's time pieces,达利的表,dali made flowing time pieces. i did too.,达利模仿画。,marker,fantasy|dali
20250427,dancing potatoes,舞动的土豆,"me: ""Nora, are these... bacteria?"" Nora: ""No! They're potatoes! They're dancing!""",我：“瓜瓜，这些是细菌吗？” 瓜瓜：“不是！它们是土豆！它们在跳舞！”,marker,food|fantasy
20250907,snail's beach time,蜗牛的海滩时光,the snail is having a relaxing time on a beautiful island.,蜗牛享受着它的海滩慢时光。,marker,nature|sea|animal
20250921_01,cool peppers,辣椒们的海滩时光,orange and red peppers chilling on the beach.,辣椒们在海滩上玩耍。,marker,food|sea
20250921_02,wake up onion,洋葱快起床,veggie friends wanted to play with onion.,蔬菜伙伴们叫洋葱起床玩耍。,marker,food|fantasy
20250928,ants crossing the ocean,蚂蚁过海,ants sailing on leaves to cross the ocean.,蚂蚁们乘着叶子船，穿越大海。,marker,animal|fantasy
